PLANTA,TEMPORADA,F. BATCH,%SP+P
CHIMBOTE,2025 - II,20/11/2025,14 %
CHIMBOTE,2025 - II,21/11/2025,27 %
CHIMBOTE,2025 - II,22/11/2025,39 %
CHIMBOTE,2025 - II,23/11/2025,24 %
CHIMBOTE,2025 - II,24/11/2025,12 %
CHIMBOTE,2025 - II,25/11/2025,2 %
CHIMBOTE,2025 - II,26/11/2025,16 %
CHIMBOTE,2025 - II,27/11/2025,4 %
CHIMBOTE,2025 - II,28/11/2025,74 %
CHIMBOTE,2025 - II,29/11/2025,53 %
CHIMBOTE,2025 - II,30/11/2025,33 %
CHIMBOTE,2025 - II,01/12/2025,87 %
CHIMBOTE,2025 - II,02/12/2025,70 %
CHIMBOTE,2025 - II,03/12/2025,59 %
CHIMBOTE,2025 - II,04/12/2025,64 %
CHIMBOTE,2025 - II,05/12/2025,42 %
CHIMBOTE,2025 - II,06/12/2025,22 %
CHIMBOTE,2025 - II,07/12/2025,37 %
CHIMBOTE,2025 - II,08/12/2025,44 %
CHIMBOTE,2025 - II,09/12/2025,53 %
CHIMBOTE,2025 - II,10/12/2025,38 %
CHIMBOTE,2025 - II,11/12/2025,47 %
CHIMBOTE,2025 - II,12/12/2025,11 %
CHIMBOTE,2025 - II,13/12/2025,64 %
CHIMBOTE,2025 - II,14/12/2025,4 %
CHIMBOTE,2025 - II,15/12/2025,74 %
CHIMBOTE,2025 - II,16/12/2025,71 %
CHIMBOTE,2025 - II,17/12/2025,61 %
CHIMBOTE,2025 - II,18/12/2025,61 %
CHIMBOTE,2025 - II,19/12/2025,53 %
CHIMBOTE,2025 - II,22/12/2025,17 %
CHIMBOTE,2025 - II,30/12/2025,60 %
CHIMBOTE,2025 - II,31/12/2025,48 %
CHIMBOTE,2025 - II,01/01/2026,74 %
CHIMBOTE,2025 - II,02/01/2026,8 %
CHIMBOTE,2025 - II,03/01/2026,12 %
CHIMBOTE,2025 - II,04/01/2026,0 %
CHIMBOTE,2025 - II,05/01/2026,31 %
CHIMBOTE,2025 - II,06/01/2026,13 %
CHIMBOTE,2025 - II,07/01/2026,4 %
CHIMBOTE,2025 - II,08/01/2026,34 %
CHIMBOTE,2025 - II,09/01/2026,36 %
CHIMBOTE,2025 - II,10/01/2026,27 %
CHIMBOTE,2025 - II,12/01/2026,30 %
CHIMBOTE,2026 - I,20/04/2026,8 %
SAMANCO,2025 - I,23/04/2025,42 %
SAMANCO,2025 - I,24/04/2025,1 %
SAMANCO,2025 - I,25/04/2025,0 %
SAMANCO,2025 - I,27/04/2025,73 %
SAMANCO,2025 - I,28/04/2025,0 %
SAMANCO,2025 - I,29/04/2025,28 %
SAMANCO,2025 - I,30/04/2025,0 %
SAMANCO,2025 - I,01/05/2025,40 %
SAMANCO,2025 - I,02/05/2025,41 %
SAMANCO,2025 - I,03/05/2025,33 %
SAMANCO,2025 - I,04/05/2025,0 %
SAMANCO,2025 - I,05/05/2025,4 %
SAMANCO,2025 - I,06/05/2025,0 %
SAMANCO,2025 - I,07/05/2025,0 %
SAMANCO,2025 - I,09/05/2025,28 %
SAMANCO,2025 - I,10/05/2025,17 %
SAMANCO,2025 - I,11/05/2025,58 %
SAMANCO,2025 - I,12/05/2025,16 %
SAMANCO,2025 - I,13/05/2025,0 %
SAMANCO,2025 - I,14/05/2025,30 %
SAMANCO,2025 - I,15/05/2025,0 %
SAMANCO,2025 - I,17/05/2025,31 %
SAMANCO,2025 - I,18/05/2025,0 %
SAMANCO,2025 - I,19/05/2025,28 %
SAMANCO,2025 - I,20/05/2025,59 %
SAMANCO,2025 - I,24/05/2025,48 %
SAMANCO,2025 - I,27/05/2025,29 %
SAMANCO,2025 - I,30/05/2025,21 %
SAMANCO,2025 - I,31/05/2025,0 %
SAMANCO,2025 - I,01/06/2025,0 %
SAMANCO,2025 - I,02/06/2025,0 %
SAMANCO,2025 - I,03/06/2025,0 %
SAMANCO,2025 - I,24/06/2025,0 %
SAMANCO,2025 - I,25/06/2025,0 %
SUPE,2025 - I,22/04/2025,21 %
SUPE,2025 - I,23/04/2025,31 %
SUPE,2025 - I,24/04/2025,49 %
SUPE,2025 - I,25/04/2025,0 %
SUPE,2025 - I,26/04/2025,0 %
SUPE,2025 - I,27/04/2025,71 %
SUPE,2025 - I,28/04/2025,0 %
SUPE,2025 - I,29/04/2025,12 %
SUPE,2025 - I,30/04/2025,35 %
SUPE,2025 - I,01/05/2025,0 %
SUPE,2025 - I,02/05/2025,23 %
SUPE,2025 - I,03/05/2025,0 %
SUPE,2025 - I,04/05/2025,0 %
SUPE,2025 - I,05/05/2025,9 %
SUPE,2025 - I,06/05/2025,43 %
SUPE,2025 - I,07/05/2025,32 %
SUPE,2025 - I,09/05/2025,29 %
SUPE,2025 - I,10/05/2025,33 %
SUPE,2025 - I,11/05/2025,62 %
SUPE,2025 - I,12/05/2025,48 %
SUPE,2025 - I,13/05/2025,37 %
SUPE,2025 - I,14/05/2025,38 %
SUPE,2025 - I,15/05/2025,1 %
SUPE,2025 - I,16/05/2025,70 %
SUPE,2025 - I,17/05/2025,47 %
SUPE,2025 - I,18/05/2025,47 %
SUPE,2025 - I,19/05/2025,27 %
SUPE,2025 - I,20/05/2025,0 %
SUPE,2025 - I,21/05/2025,16 %
SUPE,2025 - I,22/05/2025,93 %
SUPE,2025 - I,23/05/2025,15 %
SUPE,2025 - I,27/05/2025,0 %
SUPE,2025 - I,28/05/2025,0 %
SUPE,2025 - I,03/06/2025,0 %
SUPE,2025 - I,04/06/2025,0 %
SUPE,2025 - I,05/06/2025,13 %
SUPE,2025 - I,09/06/2025,0 %
SUPE,2025 - I,10/06/2025,0 %
SUPE,2025 - I,16/06/2025,0 %
SUPE,2025 - I,17/06/2025,92 %
SUPE,2025 - I,18/06/2025,89 %
SUPE,2025 - I,19/06/2025,69 %
SUPE,2025 - I,10/07/2025,0 %
SUPE,2025 - II,14/11/2025,100 %
SUPE,2026 - I,10/04/2026,100 %
SUPE,2026 - I,11/04/2026,100 %
SUPE,2026 - I,12/04/2026,29 %
SUPE,2026 - I,13/04/2026,0 %
SUPE,2026 - I,21/04/2026,2 %
SUPE,2026 - I,22/04/2026,37 %
SUPE,2026 - I,23/04/2026,8 %
SUPE,2026 - I,24/04/2026,0 %
VEGUETA,2025 - I,22/04/2025,2 %
VEGUETA,2025 - I,23/04/2025,0 %
VEGUETA,2025 - I,24/04/2025,0 %
VEGUETA,2025 - I,25/04/2025,21 %
VEGUETA,2025 - I,27/04/2025,13 %
VEGUETA,2025 - I,28/04/2025,0 %
VEGUETA,2025 - I,29/04/2025,13 %
VEGUETA,2025 - I,30/04/2025,23 %
VEGUETA,2025 - I,01/05/2025,0 %
VEGUETA,2025 - I,02/05/2025,53 %
VEGUETA,2025 - I,03/05/2025,6 %
VEGUETA,2025 - I,04/05/2025,0 %
VEGUETA,2025 - I,05/05/2025,0 %
VEGUETA,2025 - I,06/05/2025,16 %
VEGUETA,2025 - I,07/05/2025,0 %
VEGUETA,2025 - I,08/05/2025,0 %
VEGUETA,2025 - I,09/05/2025,5 %
VEGUETA,2025 - I,10/05/2025,59 %
VEGUETA,2025 - I,11/05/2025,41 %
VEGUETA,2025 - I,12/05/2025,37 %
VEGUETA,2025 - I,13/05/2025,0 %
VEGUETA,2025 - I,14/05/2025,36 %
VEGUETA,2025 - I,16/05/2025,58 %
VEGUETA,2025 - I,17/05/2025,9 %
VEGUETA,2025 - I,18/05/2025,10 %
VEGUETA,2025 - I,19/05/2025,34 %
VEGUETA,2025 - I,20/05/2025,32 %
VEGUETA,2025 - I,21/05/2025,53 %
VEGUETA,2025 - I,30/05/2025,10 %
VEGUETA,2025 - I,31/05/2025,0 %
VEGUETA,2025 - I,02/06/2025,37 %
VEGUETA,2025 - I,03/06/2025,46 %
VEGUETA,2025 - I,04/06/2025,32 %
VEGUETA,2025 - I,05/06/2025,11 %
VEGUETA,2025 - I,11/06/2025,0 %
VEGUETA,2025 - I,12/06/2025,0 %
VEGUETA,2025 - I,20/06/2025,0 %
VEGUETA,2025 - I,21/06/2025,0 %
VEGUETA,2025 - I,22/06/2025,0 %
VEGUETA,2025 - I,23/06/2025,0 %
VEGUETA,2025 - I,24/06/2025,0 %
VEGUETA,2025 - I,25/06/2025,0 %
VEGUETA,2025 - I,26/06/2025,0 %
VEGUETA,2025 - I,02/07/2025,0 %
VEGUETA,2025 - II,11/11/2025,0 %
VEGUETA,2025 - II,14/11/2025,0 %
VEGUETA,2025 - II,19/11/2025,0 %
VEGUETA,2025 - II,20/11/2025,2 %
VEGUETA,2025 - II,23/11/2025,91 %
VEGUETA,2025 - II,24/11/2025,22 %
VEGUETA,2025 - II,25/11/2025,14 %
VEGUETA,2025 - II,26/11/2025,39 %
VEGUETA,2025 - II,27/11/2025,0 %
VEGUETA,2025 - II,28/11/2025,17 %
VEGUETA,2025 - II,29/11/2025,26 %
VEGUETA,2025 - II,30/11/2025,10 %
VEGUETA,2025 - II,01/12/2025,37 %
VEGUETA,2025 - II,02/12/2025,100 %
VEGUETA,2025 - II,04/12/2025,54 %
VEGUETA,2025 - II,05/12/2025,28 %
VEGUETA,2025 - II,06/12/2025,16 %
VEGUETA,2025 - II,07/12/2025,42 %
VEGUETA,2025 - II,08/12/2025,44 %
VEGUETA,2025 - II,09/12/2025,0 %
VEGUETA,2025 - II,10/12/2025,87 %
VEGUETA,2025 - II,11/12/2025,31 %
VEGUETA,2025 - II,16/12/2025,100 %
VEGUETA,2025 - II,19/12/2025,30 %
VEGUETA,2025 - II,20/12/2025,70 %
VEGUETA,2025 - II,21/12/2025,100 %
VEGUETA,2025 - II,27/12/2025,100 %
VEGUETA,2025 - II,28/12/2025,81 %
VEGUETA,2025 - II,10/01/2026,56 %
VEGUETA,2026 - I,09/04/2026,3 %
VEGUETA,2026 - I,10/04/2026,30 %
VEGUETA,2026 - I,11/04/2026,38 %
VEGUETA,2026 - I,12/04/2026,83 %
VEGUETA,2026 - I,13/04/2026,0 %
VEGUETA,2026 - I,14/04/2026,24 %
VEGUETA,2026 - I,17/04/2026,0 %
VEGUETA,2026 - I,18/04/2026,0 %
VEGUETA,2026 - I,19/04/2026,0 %
VEGUETA,2026 - I,20/04/2026,20 %
VEGUETA,2026 - I,21/04/2026,15 %
VEGUETA,2026 - I,22/04/2026,32 %
VEGUETA,2026 - I,23/04/2026,0 %
VEGUETA,2026 - I,24/04/2026,19 %
VEGUETA,2026 - I,07/05/2026,0 %
CALLAO,2025 - I,22/04/2025,0 %
CALLAO,2025 - I,23/04/2025,6 %
CALLAO,2025 - I,24/04/2025,10 %
CALLAO,2025 - I,25/04/2025,0 %
CALLAO,2025 - I,26/04/2025,39 %
CALLAO,2025 - I,27/04/2025,63 %
CALLAO,2025 - I,28/04/2025,13 %
CALLAO,2025 - I,29/04/2025,20 %
CALLAO,2025 - I,30/04/2025,50 %
CALLAO,2025 - I,01/05/2025,19 %
CALLAO,2025 - I,02/05/2025,50 %
CALLAO,2025 - I,03/05/2025,32 %
CALLAO,2025 - I,04/05/2025,7 %
CALLAO,2025 - I,05/05/2025,18 %
CALLAO,2025 - I,06/05/2025,22 %
CALLAO,2025 - I,07/05/2025,0 %
CALLAO,2025 - I,08/05/2025,37 %
CALLAO,2025 - I,09/05/2025,20 %
CALLAO,2025 - I,10/05/2025,41 %
CALLAO,2025 - I,11/05/2025,63 %
CALLAO,2025 - I,12/05/2025,70 %
CALLAO,2025 - I,13/05/2025,20 %
