PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Chimbote,2025 - II,13/11/25,"2,527",14.3,9.3 %,0.0
Chimbote,2025 - II,14/11/25,"4,779",17.0,5.1 %,0.2
Chimbote,2025 - II,15/11/25,"2,480",12.5,8.2 %,2.1
Chimbote,2025 - II,16/11/25,"3,137",11.4,3.5 %,0.6
Chimbote,2025 - II,17/11/25,"3,660",10.0,6.8 %,0.5
Chimbote,2025 - II,18/11/25,"4,547",19.5,18.2 %,0.2
Chimbote,2025 - II,19/11/25,"3,554",17.9,3.4 %,0.0
Chimbote,2025 - II,20/11/25,"4,230",22.1,3.4 %,0.9
Chimbote,2025 - II,21/11/25,852,13.1,3.2 %,0.3
Chimbote,2025 - II,22/11/25,"3,070",15.4,8.3 %,0.1
Chimbote,2025 - II,23/11/25,"2,983",14.3,14.4 %,3.3
Chimbote,2025 - II,24/11/25,"3,676",11.9,2.4 %,6.0
Chimbote,2025 - II,25/11/25,"1,807",15.1,20.0 %,1.6
Chimbote,2025 - II,26/11/25,"2,657",13.1,3.7 %,3.5
Chimbote,2025 - II,27/11/25,"1,823",16.1,3.1 %,5.1
Chimbote,2025 - II,28/11/25,930,9.8,2.5 %,1.6
Chimbote,2025 - II,29/11/25,603,7.4,3.6 %,5.5
Chimbote,2025 - II,30/11/25,683,11.0,2.4 %,0.0
Chimbote,2025 - II,1/12/25,"2,243",16.1,2.0 %,0.0
Chimbote,2025 - II,2/12/25,"3,828",15.3,0.7 %,0.4
Chimbote,2025 - II,3/12/25,"3,722",16.8,1.4 %,1.3
Chimbote,2025 - II,4/12/25,"4,950",17.2,1.4 %,0.0
Chimbote,2025 - II,5/12/25,"3,247",14.4,0.9 %,0.0
Chimbote,2025 - II,6/12/25,"4,488",17.8,4.1 %,0.0
Chimbote,2025 - II,7/12/25,"2,293",17.0,3.2 %,0.0
Chimbote,2025 - II,8/12/25,"2,549",14.7,7.9 %,0.0
Chimbote,2025 - II,9/12/25,"1,761",22.7,4.7 %,2.3
Chimbote,2025 - II,10/12/25,398,11.8,8.9 %,0.0
Chimbote,2025 - II,11/12/25,"1,406",18.4,0.9 %,0.9
Chimbote,2025 - II,12/12/25,463,11.7,0.5 %,0.1
Chimbote,2025 - II,13/12/25,975,17.5,6.6 %,4.8
Chimbote,2025 - II,14/12/25,"1,161",14.0,5.6 %,22.4
Chimbote,2025 - II,15/12/25,"1,338",20.9,4.0 %,7.4
Chimbote,2025 - II,16/12/25,"1,488",15.9,0.3 %,0.0
Chimbote,2025 - II,17/12/25,"2,799",12.7,5.2 %,0.0
Chimbote,2025 - II,18/12/25,"3,518",21.2,3.2 %,0.3
Chimbote,2025 - II,19/12/25,"1,219",17.8,5.0 %,0.0
Chimbote,2025 - II,22/12/25,326,10.6,14.4 %,21.4
Chimbote,2025 - II,30/12/25,819,11.2,1.9 %,0.0
Chimbote,2025 - II,31/12/25,992,9.5,1.3 %,1.3
Chimbote,2025 - II,1/01/26,903,12.5,2.6 %,0.0
Chimbote,2025 - II,2/01/26,"1,957",19.9,34.1 %,0.0
Chimbote,2025 - II,3/01/26,"3,376",25.4,7.3 %,0.7
Chimbote,2025 - II,4/01/26,643,14.3,4.9 %,3.8
Chimbote,2025 - II,5/01/26,"1,345",12.6,8.8 %,2.4
Chimbote,2025 - II,6/01/26,"1,357",20.4,17.4 %,5.4
Chimbote,2025 - II,7/01/26,909,9.9,26.9 %,11.4
Chimbote,2025 - II,8/01/26,"2,390",14.7,7.7 %,7.2
Chimbote,2025 - II,9/01/26,"3,882",18.2,15.3 %,0.6
Chimbote,2025 - II,10/01/26,"1,879",11.2,6.7 %,0.2
Chimbote,2025 - II,12/01/26,289,21.2,1.9 %,3.5
Chimbote,2026 - I,9/04/26,111,2.5,87.6 %,0.0
Chimbote,2026 - I,10/04/26,259,15.7,9.5 %,1.1
Chimbote,2026 - I,11/04/26,244,14.5,80.6 %,5.4
Chimbote,2026 - I,14/04/26,279,8.0,65.9 %,0.0
Chimbote,2026 - I,15/04/26,381,6.3,93.2 %,0.0
Chimbote,2026 - I,17/04/26,217,16.4,79.7 %,0.2
Chimbote,2026 - I,20/04/26,260,12.7,44.7 %,0.1
Pacifico Centro,2025 - I,,"30,961",15.7,,0.0
Pacifico Centro,2025 - II,,"24,476",14.2,2.9 %,0.0
Samanco,2025 - I,23/04/25,902,11.2,13.2 %,1.1
Samanco,2025 - I,24/04/25,"1,041",14.8,73.0 %,1.0
Samanco,2025 - I,25/04/25,485,11.3,23.0 %,0.0
Samanco,2025 - I,27/04/25,329,8.1,38.7 %,0.2
Samanco,2025 - I,28/04/25,355,12.4,21.0 %,4.0
Samanco,2025 - I,29/04/25,"1,007",19.3,41.9 %,0.0
Samanco,2025 - I,30/04/25,526,10.3,79.5 %,3.3
Samanco,2025 - I,1/05/25,869,9.7,46.2 %,3.5
Samanco,2025 - I,2/05/25,"1,194",10.6,32.0 %,3.2
Samanco,2025 - I,3/05/25,607,14.6,48.5 %,14.4
Samanco,2025 - I,4/05/25,"1,187",13.3,61.9 %,2.1
Samanco,2025 - I,5/05/25,"1,055",20.1,49.6 %,1.4
Samanco,2025 - I,6/05/25,983,12.5,26.6 %,0.0
Samanco,2025 - I,7/05/25,"1,247",16.6,29.2 %,1.5
Samanco,2025 - I,9/05/25,"1,101",11.9,30.4 %,0.0
Samanco,2025 - I,10/05/25,"1,144",10.2,27.3 %,0.0
Samanco,2025 - I,11/05/25,"1,070",14.6,16.0 %,0.0
Samanco,2025 - I,12/05/25,909,12.7,23.3 %,2.8
Samanco,2025 - I,13/05/25,636,8.9,30.0 %,4.3
Samanco,2025 - I,14/05/25,"1,228",21.4,31.6 %,1.2
Samanco,2025 - I,15/05/25,214,7.3,10.6 %,0.0
Samanco,2025 - I,17/05/25,"1,157",15.1,29.3 %,0.6
Samanco,2025 - I,18/05/25,494,23.8,23.4 %,12.3
Samanco,2025 - I,19/05/25,812,12.5,21.6 %,2.1
Samanco,2025 - I,20/05/25,743,15.4,19.9 %,0.4
Samanco,2025 - I,24/05/25,328,37.3,63.4 %,0.4
Samanco,2025 - I,27/05/25,848,8.6,41.2 %,2.2
Samanco,2025 - I,30/05/25,500,10.1,48.0 %,6.1
Samanco,2025 - I,31/05/25,769,13.8,62.3 %,11.1
Samanco,2025 - I,1/06/25,766,11.1,58.6 %,4.4
Samanco,2025 - I,2/06/25,511,15.1,71.1 %,22.5
Samanco,2025 - I,3/06/25,"1,026",14.5,75.1 %,16.1
Samanco,2025 - I,24/06/25,469,13.8,63.2 %,3.4
Samanco,2025 - I,25/06/25,314,8.1,59.4 %,0.8
Supe,2025 - I,22/04/25,"1,814",14.2,37.1 %,0.2
Supe,2025 - I,23/04/25,"1,022",9.2,42.9 %,0.4
Supe,2025 - I,24/04/25,"1,526",13.6,34.0 %,5.1
Supe,2025 - I,25/04/25,"1,397",11.5,42.9 %,1.9
Supe,2025 - I,26/04/25,151,10.2,13.7 %,6.6
Supe,2025 - I,27/04/25,"1,120",17.5,25.5 %,2.4
Supe,2025 - I,28/04/25,844,13.8,48.9 %,5.3
Supe,2025 - I,29/04/25,"1,633",9.2,31.9 %,0.7
Supe,2025 - I,30/04/25,"1,690",12.0,52.3 %,0.0
Supe,2025 - I,1/05/25,"1,424",13.1,61.9 %,1.8
Supe,2025 - I,2/05/25,"1,697",13.8,14.7 %,5.8
Supe,2025 - I,3/05/25,730,17.9,59.4 %,14.5
Supe,2025 - I,4/05/25,"1,595",19.9,46.0 %,9.8
Supe,2025 - I,5/05/25,"1,281",12.2,19.7 %,0.0
Supe,2025 - I,6/05/25,"1,615",23.4,27.6 %,7.0
Supe,2025 - I,7/05/25,"1,040",17.1,21.0 %,0.0
Supe,2025 - I,9/05/25,"1,198",16.4,30.4 %,5.6
Supe,2025 - I,10/05/25,"1,753",17.5,24.2 %,3.4
Supe,2025 - I,11/05/25,"1,215",12.4,6.7 %,1.4
Supe,2025 - I,12/05/25,"1,217",12.1,15.3 %,7.4
Supe,2025 - I,13/05/25,"1,498",14.7,15.0 %,0.0
Supe,2025 - I,14/05/25,"1,797",14.1,28.0 %,1.2
Supe,2025 - I,15/05/25,"1,401",15.7,38.1 %,0.1
Supe,2025 - I,16/05/25,"1,034",11.1,34.7 %,0.0
Supe,2025 - I,17/05/25,"1,343",14.3,36.8 %,0.2
Supe,2025 - I,18/05/25,"1,489",11.8,17.3 %,0.3
Supe,2025 - I,19/05/25,"1,738",18.5,23.2 %,0.7
Supe,2025 - I,20/05/25,"1,412",15.5,24.1 %,0.6
Supe,2025 - I,21/05/25,593,15.2,25.4 %,0.0
Supe,2025 - I,22/05/25,727,21.0,33.2 %,0.0
Supe,2025 - I,23/05/25,"1,045",18.0,67.0 %,0.0
Supe,2025 - I,27/05/25,506,12.9,31.9 %,0.0
Supe,2025 - I,28/05/25,81,25.7,47.0 %,5.0
Supe,2025 - I,3/06/25,873,12.6,44.0 %,4.3
Supe,2025 - I,4/06/25,187,6.6,6.2 %,0.8
Supe,2025 - I,5/06/25,"1,506",22.4,21.2 %,0.0
Supe,2025 - I,9/06/25,277,6.7,24.2 %,6.3
Supe,2025 - I,10/06/25,380,10.2,50.5 %,19.9
Supe,2025 - I,16/06/25,12,7.9,1.6 %,0.0
Supe,2025 - I,17/06/25,310,11.7,22.0 %,8.2
Supe,2025 - I,18/06/25,172,6.8,25.3 %,17.9
