PLANTA,TEMPORADA,F. BATCH,%SP+P,ANO,MES,%SP+P ANTERIOR
CALLAO,2022 - II,2022-11-26,0.71,2022,11,1.0
CALLAO,2022 - II,2022-11-27,0.37,2022,11,0.71
CALLAO,2022 - II,2022-11-28,0.54,2022,11,0.37
CALLAO,2022 - II,2022-11-29,0.6,2022,11,0.54
CALLAO,2022 - II,2022-11-30,0.5,2022,11,0.6
CALLAO,2022 - II,2022-12-01,1.0,2022,12,0.5
CALLAO,2022 - II,2022-12-02,0.83,2022,12,1.0
CALLAO,2022 - II,2022-12-03,0.63,2022,12,0.83
CALLAO,2022 - II,2022-12-04,0.74,2022,12,0.63
CALLAO,2022 - II,2022-12-05,0.51,2022,12,0.74
CALLAO,2022 - II,2022-12-06,0.43,2022,12,0.51
CALLAO,2022 - II,2022-12-07,0.0,2022,12,0.43
CALLAO,2022 - II,2022-12-10,0.02,2022,12,
CALLAO,2022 - II,2022-12-11,0.96,2022,12,0.02
CALLAO,2022 - II,2022-12-13,0.88,2022,12,
CALLAO,2022 - II,2022-12-14,0.45,2022,12,0.88
CALLAO,2022 - II,2022-12-15,0.43,2022,12,0.45
CALLAO,2022 - II,2022-12-16,0.4,2022,12,0.43
CALLAO,2022 - II,2022-12-17,0.96,2022,12,0.4
CALLAO,2022 - II,2022-12-18,0.0,2022,12,0.96
CALLAO,2022 - II,2022-12-19,0.0,2022,12,0.0
CALLAO,2022 - II,2022-12-20,0.7,2022,12,0.0
CALLAO,2022 - II,2022-12-21,0.59,2022,12,0.7
CALLAO,2022 - II,2022-12-22,0.09,2022,12,0.59
CALLAO,2022 - II,2022-12-26,0.25,2022,12,
CALLAO,2022 - II,2022-12-27,0.78,2022,12,0.25
CALLAO,2022 - II,2022-12-28,0.71,2022,12,0.78
CALLAO,2022 - II,2022-12-29,0.0,2022,12,0.71
CALLAO,2022 - II,2022-12-30,0.0,2022,12,0.0
CALLAO,2022 - II,2022-12-31,0.0,2022,12,0.0
CALLAO,2022 - II,2023-01-01,0.0,2023,1,0.0
CALLAO,2022 - II,2023-01-02,0.56,2023,1,0.0
CALLAO,2022 - II,2023-01-03,0.89,2023,1,0.56
CALLAO,2022 - II,2023-01-04,0.44,2023,1,0.89
CALLAO,2022 - II,2023-01-06,0.25,2023,1,
CALLAO,2022 - II,2023-01-07,0.0,2023,1,0.25
CALLAO,2022 - II,2023-01-08,0.75,2023,1,0.0
CALLAO,2022 - II,2023-01-09,0.84,2023,1,0.75
CALLAO,2022 - II,2023-01-10,0.64,2023,1,0.84
CALLAO,2022 - II,2023-01-14,0.04,2023,1,
CALLAO,2022 - II,2023-01-15,0.72,2023,1,0.04
CALLAO,2022 - II,2023-01-16,0.0,2023,1,0.72
CALLAO,2022 - II,2023-01-17,0.0,2023,1,0.0
CALLAO,2022 - II,2023-01-18,0.0,2023,1,0.0
CALLAO,2022 - II,2023-01-19,0.0,2023,1,0.0
CALLAO,2022 - II,2023-01-21,0.0,2023,1,
CALLAO,2022 - II,2023-01-22,0.34,2023,1,0.0
CALLAO,2022 - II,2023-01-23,0.0,2023,1,0.34
CALLAO,2022 - II,2023-01-24,0.05,2023,1,0.0
CALLAO,2022 - II,2023-01-25,0.56,2023,1,0.05
CALLAO,2022 - II,2023-01-27,0.67,2023,1,
CALLAO,2022 - II,2023-01-28,0.0,2023,1,0.67
CALLAO,2022 - II,2023-01-29,0.0,2023,1,0.0
CALLAO,2022 - II,2023-01-30,0.63,2023,1,0.0
CALLAO,2022 - II,2023-01-31,0.0,2023,1,0.63
CALLAO,2022 - II,2023-02-01,0.74,2023,2,0.0
CALLAO,2023 - I,2023-06-03,0.16,2023,6,
CALLAO,2023 - I,2023-06-04,0.0,2023,6,0.16
CALLAO,2023 - I,2023-08-05,0.0,2023,8,
CALLAO,2023 - II,2023-10-21,0.35,2023,10,
CALLAO,2023 - II,2023-10-23,0.38,2023,10,
CALLAO,2023 - II,2023-10-24,0.05,2023,10,0.38
CALLAO,2023 - II,2023-10-25,0.0,2023,10,0.05
CALLAO,2023 - II,2023-10-26,0.8,2023,10,0.0
CALLAO,2023 - II,2023-10-27,0.84,2023,10,0.8
CALLAO,2023 - II,2023-10-28,0.52,2023,10,0.84
CALLAO,2023 - II,2023-10-29,0.66,2023,10,0.52
CALLAO,2023 - II,2023-10-31,0.82,2023,10,
CALLAO,2023 - II,2023-11-01,0.36,2023,11,0.82
CALLAO,2023 - II,2023-11-02,0.29,2023,11,0.36
CALLAO,2023 - II,2023-11-03,0.0,2023,11,0.29
CALLAO,2023 - II,2023-11-04,0.13,2023,11,0.0
CALLAO,2023 - II,2023-11-05,0.18,2023,11,0.13
CALLAO,2023 - II,2023-11-06,0.54,2023,11,0.18
CALLAO,2023 - II,2023-11-07,0.47,2023,11,0.54
CALLAO,2023 - II,2023-11-08,0.46,2023,11,0.47
CALLAO,2023 - II,2023-11-09,0.0,2023,11,0.46
CALLAO,2023 - II,2023-11-11,0.06,2023,11,
CALLAO,2023 - II,2023-11-12,0.41,2023,11,0.06
CALLAO,2023 - II,2023-11-13,0.0,2023,11,0.41
CALLAO,2023 - II,2023-11-14,0.15,2023,11,0.0
CALLAO,2023 - II,2023-11-15,0.46,2023,11,0.15
CALLAO,2023 - II,2023-11-16,0.09,2023,11,0.46
CALLAO,2023 - II,2023-11-17,0.54,2023,11,0.09
CALLAO,2023 - II,2023-11-19,0.63,2023,11,
CALLAO,2023 - II,2023-11-20,0.41,2023,11,0.63
CALLAO,2023 - II,2023-11-21,0.75,2023,11,0.41
CALLAO,2023 - II,2023-11-22,0.68,2023,11,0.75
CALLAO,2023 - II,2023-11-23,0.1,2023,11,0.68
CALLAO,2023 - II,2023-11-24,0.16,2023,11,0.1
CALLAO,2023 - II,2023-11-25,0.67,2023,11,0.16
CALLAO,2023 - II,2023-11-26,0.41,2023,11,0.67
CALLAO,2023 - II,2023-11-27,0.27,2023,11,0.41
CALLAO,2023 - II,2023-11-28,0.43,2023,11,0.27
CALLAO,2023 - II,2023-11-29,0.21,2023,11,0.43
CALLAO,2023 - II,2023-11-30,0.16,2023,11,0.21
CALLAO,2023 - II,2023-12-01,0.72,2023,12,0.16
CALLAO,2023 - II,2023-12-03,0.79,2023,12,
CALLAO,2023 - II,2023-12-04,0.66,2023,12,0.79
CALLAO,2023 - II,2023-12-05,0.33,2023,12,0.66
CALLAO,2023 - II,2023-12-06,0.28,2023,12,0.33
CALLAO,2023 - II,2023-12-10,0.57,2023,12,
CALLAO,2023 - II,2023-12-11,0.0,2023,12,0.57
CALLAO,2023 - II,2023-12-17,0.0,2023,12,
CALLAO,2023 - II,2023-12-18,0.0,2023,12,0.0
CALLAO,2023 - II,2023-12-19,0.0,2023,12,0.0
CALLAO,2023 - II,2023-12-29,0.9,2023,12,
CALLAO,2023 - II,2023-12-30,0.96,2023,12,0.9
CALLAO,2023 - II,2023-12-31,0.58,2023,12,0.96
CALLAO,2023 - II,2024-01-01,0.08,2024,1,0.58
CALLAO,2023 - II,2024-01-02,0.0,2024,1,0.08
CALLAO,2023 - II,2024-01-03,0.0,2024,1,0.0
CALLAO,2023 - II,2024-01-05,0.0,2024,1,
CALLAO,2023 - II,2024-01-06,0.0,2024,1,0.0
CALLAO,2023 - II,2024-01-07,0.0,2024,1,0.0
CALLAO,2023 - II,2024-01-08,0.32,2024,1,0.0
CALLAO,2023 - II,2024-01-09,0.59,2024,1,0.32
CALLAO,2023 - II,2024-01-10,0.1,2024,1,0.59
CALLAO,2023 - II,2024-01-11,0.17,2024,1,0.1
CALLAO,2023 - II,2024-01-12,0.0,2024,1,0.17
CALLAO,2024 - I,2024-04-16,0.0,2024,4,
CALLAO,2024 - I,2024-04-17,0.0,2024,4,0.0
CALLAO,2024 - I,2024-04-18,0.0,2024,4,0.0
CALLAO,2024 - I,2024-04-20,0.16,2024,4,
CALLAO,2024 - I,2024-04-21,0.04,2024,4,0.16
CALLAO,2024 - I,2024-04-22,0.09,2024,4,0.04
CALLAO,2024 - I,2024-04-23,0.49,2024,4,0.09
CALLAO,2024 - I,2024-04-24,0.46,2024,4,0.49
CALLAO,2024 - I,2024-04-25,0.24,2024,4,0.46
CALLAO,2024 - I,2024-04-26,0.0,2024,4,0.24
CALLAO,2024 - I,2024-04-27,0.03,2024,4,0.0
CALLAO,2024 - I,2024-04-28,0.67,2024,4,0.03
CALLAO,2024 - I,2024-04-29,0.0,2024,4,0.67
CALLAO,2024 - I,2024-04-30,0.35,2024,4,0.0
CALLAO,2024 - I,2024-05-01,0.62,2024,5,0.35
CALLAO,2024 - I,2024-05-02,0.0,2024,5,0.62
CALLAO,2024 - I,2024-05-03,0.0,2024,5,0.0
CALLAO,2024 - I,2024-05-06,0.09,2024,5,
CALLAO,2024 - I,2024-05-07,0.0,2024,5,0.09
CALLAO,2024 - I,2024-05-08,0.0,2024,5,0.0
CALLAO,2024 - I,2024-05-09,0.0,2024,5,0.0
CALLAO,2024 - I,2024-05-10,0.1,2024,5,0.0
CALLAO,2024 - I,2024-05-11,0.66,2024,5,0.1
CALLAO,2024 - I,2024-05-12,0.23,2024,5,0.66
CALLAO,2024 - I,2024-05-13,0.0,2024,5,0.23
CALLAO,2024 - I,2024-05-14,0.0,2024,5,0.0
CALLAO,2024 - I,2024-05-15,0.52,2024,5,0.0
CALLAO,2024 - I,2024-05-17,0.0,2024,5,
CALLAO,2024 - I,2024-05-18,0.67,2024,5,0.0
CALLAO,2024 - I,2024-05-25,0.55,2024,5,
CALLAO,2024 - I,2024-05-26,0.0,2024,5,0.55
CALLAO,2024 - I,2024-05-30,0.0,2024,5,
CALLAO,2024 - I,2024-05-31,0.0,2024,5,0.0
CALLAO,2024 - I,2024-06-01,0.64,2024,6,0.0
CALLAO,2024 - I,2024-06-02,0.6,2024,6,0.64
CALLAO,2024 - I,2024-06-03,0.0,2024,6,0.6
CALLAO,2024 - II,2024-11-01,0.82,2024,11,
CALLAO,2024 - II,2024-11-02,0.87,2024,11,0.82
CALLAO,2024 - II,2024-11-03,0.78,2024,11,0.87
CALLAO,2024 - II,2024-11-04,0.91,2024,11,0.78
CALLAO,2024 - II,2024-11-05,0.98,2024,11,0.91
CALLAO,2024 - II,2024-11-06,0.58,2024,11,0.98
CALLAO,2024 - II,2024-11-07,0.85,2024,11,0.58
CALLAO,2024 - II,2024-11-08,0.73,2024,11,0.85
CALLAO,2024 - II,2024-11-09,0.95,2024,11,0.73
CALLAO,2024 - II,2024-11-10,0.65,2024,11,0.95
CALLAO,2024 - II,2024-11-11,1.0,2024,11,0.65
CALLAO,2024 - II,2024-11-14,0.8,2024,11,
CALLAO,2024 - II,2024-11-15,0.7,2024,11,0.8
CALLAO,2024 - II,2024-11-16,0.92,2024,11,0.7
CALLAO,2024 - II,2024-11-17,0.89,2024,11,0.92
CALLAO,2024 - II,2024-11-18,0.43,2024,11,0.89
CALLAO,2024 - II,2024-11-19,0.52,2024,11,0.43
CALLAO,2024 - II,2024-11-20,0.85,2024,11,0.52
CALLAO,2024 - II,2024-11-21,0.0,2024,11,0.85
CALLAO,2024 - II,2024-11-22,0.14,2024,11,0.0
CALLAO,2024 - II,2024-11-23,0.11,2024,11,0.14
CALLAO,2024 - II,2024-11-25,0.24,2024,11,
CALLAO,2024 - II,2024-11-26,0.75,2024,11,0.24
CALLAO,2024 - II,2024-11-27,0.58,2024,11,0.75
CALLAO,2024 - II,2024-11-28,0.48,2024,11,0.58
CALLAO,2024 - II,2024-11-29,0.07,2024,11,0.48
CALLAO,2024 - II,2024-11-30,0.63,2024,11,0.07
CALLAO,2024 - II,2024-12-01,0.33,2024,12,0.63
CALLAO,2024 - II,2024-12-02,0.39,2024,12,0.33
CALLAO,2024 - II,2024-12-03,0.0,2024,12,0.39
CALLAO,2024 - II,2024-12-05,0.0,2024,12,
CALLAO,2024 - II,2024-12-06,0.92,2024,12,0.0
CALLAO,2024 - II,2024-12-07,0.97,2024,12,0.92
CALLAO,2024 - II,2024-12-08,0.78,2024,12,0.97
CALLAO,2024 - II,2024-12-09,0.93,2024,12,0.78
CALLAO,2024 - II,2024-12-10,0.37,2024,12,0.93
CALLAO,2024 - II,2024-12-11,0.82,2024,12,0.37
CALLAO,2024 - II,2024-12-12,0.8,2024,12,0.82
CALLAO,2024 - II,2024-12-16,0.39,2024,12,
CALLAO,2024 - II,2024-12-17,0.6,2024,12,0.39
CALLAO,2024 - II,2024-12-18,0.71,2024,12,0.6
CALLAO,2024 - II,2024-12-19,0.65,2024,12,0.71
CALLAO,2024 - II,2024-12-20,0.49,2024,12,0.65
CALLAO,2024 - II,2024-12-21,0.57,2024,12,0.49
CALLAO,2024 - II,2024-12-22,0.29,2024,12,0.57
CALLAO,2024 - II,2024-12-23,0.72,2024,12,0.29
CALLAO,2024 - II,2024-12-27,0.19,2024,12,
CALLAO,2024 - II,2024-12-30,0.24,2024,12,
CALLAO,2024 - II,2024-12-31,0.63,2024,12,0.24
CALLAO,2024 - II,2025-01-01,0.56,2025,1,0.63
CALLAO,2024 - II,2025-01-02,0.24,2025,1,0.56
CALLAO,2024 - II,2025-01-03,0.75,2025,1,0.24
CALLAO,2024 - II,2025-01-04,0.8,2025,1,0.75
CALLAO,2024 - II,2025-01-05,0.81,2025,1,0.8
CALLAO,2024 - II,2025-01-18,0.74,2025,1,
CALLAO,2024 - II,2025-01-19,0.54,2025,1,0.74
CALLAO,2024 - II,2025-01-20,0.32,2025,1,0.54
CALLAO,2025 - I,2025-04-22,0.0,2025,4,
CALLAO,2025 - I,2025-04-23,0.06,2025,4,0.0
CALLAO,2025 - I,2025-04-24,0.1,2025,4,0.06
CALLAO,2025 - I,2025-04-25,0.0,2025,4,0.1
CALLAO,2025 - I,2025-04-26,0.39,2025,4,0.0
CALLAO,2025 - I,2025-04-27,0.63,2025,4,0.39
CALLAO,2025 - I,2025-04-28,0.13,2025,4,0.63
CALLAO,2025 - I,2025-04-29,0.2,2025,4,0.13
CALLAO,2025 - I,2025-04-30,0.5,2025,4,0.2
CALLAO,2025 - I,2025-05-01,0.19,2025,5,0.5
CALLAO,2025 - I,2025-05-02,0.5,2025,5,0.19
CALLAO,2025 - I,2025-05-03,0.32,2025,5,0.5
CALLAO,2025 - I,2025-05-04,0.07,2025,5,0.32
CALLAO,2025 - I,2025-05-05,0.18,2025,5,0.07
CALLAO,2025 - I,2025-05-06,0.22,2025,5,0.18
CALLAO,2025 - I,2025-05-07,0.0,2025,5,0.22
CALLAO,2025 - I,2025-05-08,0.37,2025,5,0.0
CALLAO,2025 - I,2025-05-09,0.2,2025,5,0.37
CALLAO,2025 - I,2025-05-10,0.41,2025,5,0.2
CALLAO,2025 - I,2025-05-11,0.63,2025,5,0.41
CALLAO,2025 - I,2025-05-12,0.7,2025,5,0.63
CALLAO,2025 - I,2025-05-13,0.2,2025,5,0.7
CALLAO,2025 - I,2025-05-14,0.12,2025,5,0.2
CALLAO,2025 - I,2025-05-17,0.5,2025,5,
CALLAO,2025 - I,2025-05-18,0.34,2025,5,0.5
CALLAO,2025 - I,2025-05-19,0.47,2025,5,0.34
CALLAO,2025 - I,2025-05-20,0.48,2025,5,0.47
CALLAO,2025 - I,2025-05-21,0.04,2025,5,0.48
CALLAO,2025 - I,2025-05-26,0.74,2025,5,
CALLAO,2025 - I,2025-05-27,0.14,2025,5,0.74
CALLAO,2025 - I,2025-05-30,0.87,2025,5,
CALLAO,2025 - I,2025-05-31,0.1,2025,5,0.87
CALLAO,2025 - I,2025-06-01,0.0,2025,6,0.1
CALLAO,2025 - I,2025-06-02,0.54,2025,6,0.0
CALLAO,2025 - I,2025-06-03,0.0,2025,6,0.54
CALLAO,2025 - I,2025-06-04,0.47,2025,6,0.0
CALLAO,2025 - I,2025-06-05,0.25,2025,6,0.47
CALLAO,2025 - I,2025-06-06,0.0,2025,6,0.25
CALLAO,2025 - I,2025-06-07,0.09,2025,6,0.0
CALLAO,2025 - I,2025-06-08,0.14,2025,6,0.09
CALLAO,2025 - I,2025-06-09,0.22,2025,6,0.14
CALLAO,2025 - I,2025-06-10,0.0,2025,6,0.22
CALLAO,2025 - I,2025-06-11,0.0,2025,6,0.0
CALLAO,2025 - I,2025-06-12,0.0,2025,6,0.0
CALLAO,2025 - I,2025-06-15,0.0,2025,6,
CALLAO,2025 - I,2025-06-16,0.0,2025,6,0.0
CALLAO,2025 - I,2025-06-17,0.66,2025,6,0.0
CALLAO,2025 - I,2025-06-18,0.0,2025,6,0.66
CALLAO,2025 - I,2025-06-19,0.0,2025,6,0.0
CALLAO,2025 - I,2025-06-20,0.0,2025,6,0.0
CALLAO,2025 - I,2025-06-21,0.21,2025,6,0.0
CALLAO,2025 - I,2025-06-22,0.05,2025,6,0.21
CALLAO,2025 - I,2025-06-23,0.0,2025,6,0.05
CALLAO,2025 - I,2025-06-24,0.36,2025,6,0.0
CALLAO,2025 - I,2025-06-25,0.13,2025,6,0.36
CALLAO,2025 - I,2025-07-01,0.12,2025,7,
CALLAO,2025 - I,2025-07-02,0.12,2025,7,0.12
CALLAO,2025 - I,2025-07-03,0.23,2025,7,0.12
CALLAO,2025 - I,2025-07-04,0.54,2025,7,0.23
CALLAO,2025 - I,2025-07-05,0.08,2025,7,0.54
CALLAO,2025 - I,2025-07-06,0.0,2025,7,0.08
CALLAO,2025 - I,2025-07-07,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-08,0.02,2025,7,0.0
CALLAO,2025 - I,2025-07-09,0.0,2025,7,0.02
CALLAO,2025 - I,2025-07-10,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-11,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-12,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-13,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-14,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-18,0.0,2025,7,
CALLAO,2025 - I,2025-07-19,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-20,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-21,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-22,0.0,2025,7,0.0
CALLAO,2025 - I,2025-07-23,0.0,2025,7,0.0
CALLAO,2025 - II,2025-11-07,0.14,2025,11,
CALLAO,2025 - II,2025-11-08,0.11,2025,11,0.14
CALLAO,2025 - II,2025-11-09,0.42,2025,11,0.11
CALLAO,2025 - II,2025-11-10,0.0,2025,11,0.42
CALLAO,2025 - II,2025-11-12,0.0,2025,11,
CALLAO,2025 - II,2025-11-29,0.43,2025,11,
CALLAO,2025 - II,2025-11-30,0.58,2025,11,0.43
CALLAO,2025 - II,2025-12-01,0.12,2025,12,0.58
CALLAO,2025 - II,2025-12-02,0.63,2025,12,0.12
