PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2023 - I,12/08/23,"2,182",24.9,68.2 %,0.0
Malabrigo,2023 - II,21/10/23,"2,309",13.4,32.8 %,0.7
Malabrigo,2023 - II,22/10/23,660,10.1,3.4 %,0.0
Malabrigo,2023 - II,23/10/23,"1,291",9.6,66.0 %,0.0
Malabrigo,2023 - II,24/10/23,"1,153",30.1,20.5 %,0.0
Malabrigo,2023 - II,26/10/23,"2,035",8.7,71.4 %,11.6
Malabrigo,2023 - II,27/10/23,551,9.0,86.6 %,51.8
Malabrigo,2023 - II,1/11/23,562,5.9,25.4 %,3.7
Malabrigo,2023 - II,2/11/23,876,5.3,40.7 %,2.7
Malabrigo,2023 - II,3/11/23,"1,974",9.1,45.8 %,2.7
Malabrigo,2023 - II,4/11/23,"1,389",10.9,45.5 %,0.9
Malabrigo,2023 - II,5/11/23,623,7.8,65.7 %,3.8
Malabrigo,2023 - II,6/11/23,477,8.7,76.4 %,20.5
Malabrigo,2023 - II,8/11/23,605,9.4,30.1 %,5.6
Malabrigo,2023 - II,9/11/23,107,7.0,43.1 %,1.9
Malabrigo,2023 - II,10/11/23,579,9.0,52.0 %,21.6
Malabrigo,2023 - II,11/11/23,367,7.7,53.8 %,0.6
Malabrigo,2023 - II,12/11/23,"1,358",6.1,60.6 %,3.9
Malabrigo,2023 - II,13/11/23,"1,622",21.6,27.8 %,0.9
Malabrigo,2023 - II,14/11/23,478,10.2,66.4 %,5.7
Malabrigo,2023 - II,15/11/23,373,4.7,67.0 %,1.1
Malabrigo,2023 - II,16/11/23,95,6.2,68.3 %,0.6
Malabrigo,2023 - II,18/11/23,843,6.7,59.4 %,17.8
Malabrigo,2023 - II,19/11/23,399,6.8,70.4 %,3.8
Malabrigo,2023 - II,20/11/23,341,9.0,64.1 %,3.7
Malabrigo,2023 - II,21/11/23,46,8.0,58.6 %,0.7
Malabrigo,2023 - II,24/11/23,455,6.5,59.1 %,5.6
Malabrigo,2023 - II,25/11/23,"1,571",9.7,59.2 %,15.4
Malabrigo,2023 - II,26/11/23,203,9.7,39.0 %,5.2
Malabrigo,2023 - II,28/11/23,98,8.4,32.9 %,5.9
Malabrigo,2023 - II,3/12/23,66,11.7,66.7 %,4.7
Malabrigo,2023 - II,4/12/23,381,5.1,67.3 %,5.8
Malabrigo,2024 - I,16/04/24,"2,710",14.4,32.5 %,0.2
Malabrigo,2024 - I,17/04/24,"3,438",17.5,44.1 %,0.0
Malabrigo,2024 - I,18/04/24,"2,051",13.6,51.6 %,0.2
Malabrigo,2024 - I,19/04/24,"3,296",14.9,65.7 %,0.2
Malabrigo,2024 - I,20/04/24,"3,361",13.3,24.6 %,0.1
Malabrigo,2024 - I,21/04/24,"3,364",13.9,59.9 %,0.0
Malabrigo,2024 - I,22/04/24,"2,413",21.0,31.4 %,0.0
Malabrigo,2024 - I,23/04/24,"3,233",16.9,34.2 %,0.0
Malabrigo,2024 - I,24/04/24,"3,679",20.4,30.7 %,0.7
Malabrigo,2024 - I,25/04/24,"2,145",16.2,30.7 %,1.0
Malabrigo,2024 - I,26/04/24,"2,499",16.3,15.6 %,0.4
Malabrigo,2024 - I,27/04/24,"2,373",14.0,11.0 %,0.7
Malabrigo,2024 - I,28/04/24,"2,803",21.6,27.6 %,0.4
Malabrigo,2024 - I,29/04/24,"1,241",15.0,31.3 %,0.7
Malabrigo,2024 - I,30/04/24,"1,042",8.5,71.7 %,1.7
Malabrigo,2024 - I,1/05/24,"2,324",13.2,32.6 %,1.0
